"Month","Hour","Day of Week","Council District (Start)","sum_trip_distance","Year (US/Central)"
"4","11","6","1","9,565","2,019"
"10","6","3","10","15,697","2,019"
"12","8","0","1","4,139","2,020"
"9","23","1","9","58,582,997.15700884151","2,020"
"4","17","4","5","175,663","2,021"
"4","22","5","1","723,580.69041235056","2,021"
"3","16","4","9","114,639,822.11792773799","2,020"
"6","15","0","8","16,427","2,019"
"10","10","0","7","15,558","2,019"
"8","5","1","9","766,336.77243458269","2,020"
"6","13","0","1","29,826","2,018"
"3","7","5","5","136,656.25410019231","2,021"
"2","18","2","9","547,166.60507895097","2,021"
"3","21","4","4","12,091","2,022"
"7","21","2","8","17,033.4765837738","2,020"
"1","19","6","9","122,493,244","2,020"
"10","17","1","10","8,425","2,021"
"3","14","6","5","47,143","2,022"
"5","7","6","7","1,266","2,019"
"2","0","5","3","560,589.87536870776","2,022"
"4","2","0","4","13,320","2,021"
"10","9","0","5","5,502","2,018"
"7","6","1","1","62,079","2,021"
"1","13","0","1","77,712","2,020"
"3","9","6","9","1,148,103","2,019"
"12","20","5","9","2,042,883.794395336","2,020"
"12","15","3","4","661","2,020"
"6","14","5","3","520,090","2,019"
"4","0","3","1","207,939.56689256563","2,021"
"5","18","5","1","22,855,530","2,020"
"2","1","6","1","23,046,029","2,020"
"10","12","3","1","114,730","2,019"
"12","22","0","3","188,170.40222334253","2,020"
"9","5","4","4","10,347","2,019"
"8","16","1","8","16,621","2,020"
"9","8","2","1","20,439.91976823771","2,020"
"4","23","6","1","85,197","2,020"
"7","23","4","4","967","2,018"
"3","2","5","2","20,885","2,022"
"9","0","2","5","137,426.58566311972","2,020"
"6","14","3","9","185,712.51765538756","2,020"
"9","19","3","10","21,447","2,021"
"7","13","0","2","6,471","2,021"
"3","11","4","3","69,079","2,020"
"2","3","3","2","1,058","2,022"
"2","0","6","10","17,880","2,022"
"6","21","2","9","3,842,313","2,019"
"10","13","3","None","3,787","2,020"
"10","6","1","4","48","2,018"
"10","13","6","3","75,802","2,018"
